date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:45:31	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2021%20Nov%202021%2008:45:31%20GMT	https://portwallet.globalskills.com.bd/robots.txt		(from )
14:45:32	11811/11811	---M-Z	200	added ('OK')	text/html	date:Sun,%2021%20Nov%202021%2008:45:32%20GMT	https://portwallet.globalskills.com.bd/	F:/portwallet/portwallet/portwallet.globalskills.com.bd/index.html	(from )
14:45:32	117347/117347	---M-Z	200	added ('OK')	text/css	date:Thu,%2004%20May%202017%2009:13:02%20GMT	https://portwallet.globalskills.com.bd/css/bootstrap.min.css	F:/portwallet/portwallet/portwallet.globalskills.com.bd/css/bootstrap.min.css	(from https://portwallet.globalskills.com.bd/)
14:45:32	11166/11166	---M-Z	200	added ('OK')	text/css	date:Thu,%2004%20May%202017%2009:13:02%20GMT	https://portwallet.globalskills.com.bd/style.css	F:/portwallet/portwallet/portwallet.globalskills.com.bd/style.css	(from https://portwallet.globalskills.com.bd/)
14:45:32	15597/15597	---M--	200	added ('OK')	image/png	date:Fri,%2007%20Dec%202018%2013:38:03%20GMT	https://portwallet.globalskills.com.bd/images/logo_globalskills.png	F:/portwallet/portwallet/portwallet.globalskills.com.bd/images/logo_globalskills.png	(from https://portwallet.globalskills.com.bd/)
14:45:33	19831/19831	---M--	200	added ('OK')	image/png	date:Thu,%2004%20May%202017%2009:13:02%20GMT	https://portwallet.globalskills.com.bd/images/all-bank-img.png	F:/portwallet/portwallet/portwallet.globalskills.com.bd/images/all-bank-img.png	(from https://portwallet.globalskills.com.bd/)
14:45:33	2922/2922	---M--	200	added ('OK')	image/png	date:Thu,%2004%20May%202017%2009:13:02%20GMT	https://portwallet.globalskills.com.bd/images/powered-by-portwallet.png	F:/portwallet/portwallet/portwallet.globalskills.com.bd/images/powered-by-portwallet.png	(from https://portwallet.globalskills.com.bd/)
14:45:34	35452/35452	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2004%20May%202017%2009:13:02%20GMT	https://portwallet.globalskills.com.bd/js/bootstrap.min.js	F:/portwallet/portwallet/portwallet.globalskills.com.bd/js/bootstrap.min.js	(from https://portwallet.globalskills.com.bd/)
14:45:34	93107/93107	---M-Z	200	added ('OK')	application/javascript	etag:W/%2254499a47-16bb3%22	https://code.jquery.com/jquery-1.10.2.min.js	F:/portwallet/portwallet/code.jquery.com/jquery-1.10.2.min.js	(from https://portwallet.globalskills.com.bd/)
14:45:34	5832/5832	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2004%20May%202017%2009:13:02%20GMT	https://portwallet.globalskills.com.bd/js/validator.min.js	F:/portwallet/portwallet/portwallet.globalskills.com.bd/js/validator.min.js	(from https://portwallet.globalskills.com.bd/)
